Unnamed: 0,State,City,Name,Type,Type_encoded,combined_features
301,Bihar,Patna,Budhha Smriti Park,Park,41,Park Patna Bihar
302,Haryana,Gurugram,Kingdom of Dreams,Entertainment,15,Entertainment Gurugram Haryana
303,Haryana,Gurugram,Ambience Mall,Mall,27,Mall Gurugram Haryana
304,Haryana,Gurugram,DLF CyberHub,Commercial Complex,10,Commercial Complex Gurugram Haryana
305,Delhi,New Delhi,Gurudwara Bangla Sahib,Gurudwara,21,Gurudwara New Delhi Delhi
306,Uttarakhand,Kedarnath,Kedarnath,Temple,62,Temple Kedarnath Uttarakhand
307,Uttar Pradesh,Noida,DLF Mall of India,Mall,27,Mall Noida Uttar Pradesh
308,Uttar Pradesh,Greater Noida,The Grand Venice Mall,Mall,27,Mall Greater Noida Uttar Pradesh
309,Karnataka,Bengaluru,Wonderla Amusement Park,Amusement Park,1,Amusement Park Bengaluru Karnataka
310,Odisha,Bhubaneswar,Nandankanan Zoological Park,Zoo,77,Zoo Bhubaneswar Odisha
311,Karnataka,Bengaluru,Orion Mall,Mall,27,Mall Bengaluru Karnataka
312,Telangana,Hyderabad,Inorbit Mall Cyberabad,Mall,27,Mall Hyderabad Telangana
313,Delhi,New Delhi,Jama Masjid,Mosque,33,Mosque New Delhi Delhi
314,Tamil Nadu,Rameswaram,Ramanathaswamy Temple,Temple,62,Temple Rameswaram Tamil Nadu
315,Uttar Pradesh,Greater Noida,Buddh International Circuit,Race Track,44,Race Track Greater Noida Uttar Pradesh
316,Uttar Pradesh,Lucknow,Phoenix Palassio,Mall,27,Mall Lucknow Uttar Pradesh
317,Kerala,Kochi,LuLu International Shopping Mall,Mall,27,Mall Kochi Kerala
318,Delhi,New Delhi,Rail Museum,Museum,35,Museum New Delhi Delhi
319,Meghalaya,Cherrapunji,Living Root Bridge,Natural Feature,37,Natural Feature Cherrapunji Meghalaya
320,Gujarat,Gandhinagar,Akshardham,Temple,62,Temple Gandhinagar Gujarat
321,Uttar Pradesh,Agra,Agra Fort,Fort,17,Fort Agra Uttar Pradesh
322,Madhya Pradesh,Bhopal,Madhya Pradesh Tribal Museum,Museum,35,Museum Bhopal Madhya Pradesh
323,Rajasthan,Jaipur,City Palace,Palace,40,Palace Jaipur Rajasthan
324,Rajasthan,Jaipur,Albert Hall Museum,Museum,35,Museum Jaipur Rajasthan
